Geneid	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.1.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.3.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.4.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.1.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.2.bam	X.home.bio.NCL_OV.clean_data.bam_output.HFLS.sh.NC.3.bam	gene_name	gene_biotype
1	ENSG00000000003	678	732	737	631	863	1321	TSPAN6	protein_coding
2	ENSG00000000005	0	0	0	0	0	0	TNMD	protein_coding
3	ENSG00000000419	913	882	1163	660	749	737	DPM1	protein_coding
4	ENSG00000000457	310	327	357	215	276	326	SCYL3	protein_coding
5	ENSG00000000460	64	56	79	46	91	92	C1orf112	protein_coding
6	ENSG00000000938	12	9	14	9	1	13	FGR	protein_coding
7	ENSG00000000971	2813	2676	2875	2614	2234	3777	CFH	protein_coding
8	ENSG00000001036	1329	1286	1307	976	1349	1557	FUCA2	protein_coding
9	ENSG00000001084	346	345	432	273	363	510	GCLC	protein_coding
10	ENSG00000001167	705	767	771	496	723	724	NFYA	protein_coding
11	ENSG00000001460	304	265	302	259	359	371	STPG1	protein_coding
12	ENSG00000001461	3048	3561	3956	2969	4799	5700	NIPAL3	protein_coding
13	ENSG00000001497	909	793	787	627	830	953	LAS1L	protein_coding
14	ENSG00000001561	92	154	169	262	226	166	ENPP4	protein_coding
15	ENSG00000001617	111	202	210	190	271	250	SEMA3F	protein_coding
16	ENSG00000001626	5	0	4	0	0	0	CFTR	protein_coding
17	ENSG00000001629	1979	2321	2230	2895	2636	3165	ANKIB1	protein_coding
18	ENSG00000001630	99	131	124	86	197	169	CYP51A1	protein_coding
19	ENSG00000001631	231	208	263	192	219	251	KRIT1	protein_coding
20	ENSG00000002016	251	211	195	144	219	274	RAD52	protein_coding
21	ENSG00000002079	2	8	12	6	0	2	MYH16	transcribed_unitary_pseudogene
22	ENSG00000002330	705	781	1228	468	570	533	BAD	protein_coding
23	ENSG00000002549	2030	1428	1906	957	1065	2152	LAP3	protein_coding
24	ENSG00000002586	9480	8042	9907	17592	17326	18468	CD99	protein_coding
25	ENSG00000002587	0	0	0	0	0	0	HS3ST1	protein_coding
26	ENSG00000002726	0	0	0	0	0	0	AOC1	protein_coding
27	ENSG00000002745	247	290	272	707	711	796	WNT16	protein_coding
28	ENSG00000002746	138	140	182	102	158	174	HECW1	protein_coding
29	ENSG00000002822	3	3	15	1	9	4	MAD1L1	protein_coding
30	ENSG00000002834	12377	12120	13178	9781	14749	11401	LASP1	protein_coding
31	ENSG00000002919	685	762	930	304	488	482	SNX11	protein_coding
32	ENSG00000002933	0	2	4	6	6	10	TMEM176A	protein_coding
33	ENSG00000003056	2500	2267	2504	1137	1250	1683	M6PR	protein_coding
34	ENSG00000003096	2	2	4	0	8	4	KLHL13	protein_coding
35	ENSG00000003137	57	148	130	134	263	597	CYP26B1	protein_coding
36	ENSG00000003147	3	0	2	13	3	11	ICA1	protein_coding
37	ENSG00000003249	38	43	42	116	188	114	DBNDD1	protein_coding
38	ENSG00000003393	1213	1324	1261	1023	1272	1177	ALS2	protein_coding
39	ENSG00000003400	163	142	156	110	164	243	CASP10	protein_coding
40	ENSG00000003402	2258	3078	3300	4801	4119	5054	CFLAR	protein_coding
41	ENSG00000003436	1084	1020	1048	895	736	1599	TFPI	protein_coding
42	ENSG00000003509	416	424	458	385	356	452	NDUFAF7	protein_coding
43	ENSG00000003756	3427	3144	3422	2697	2533	2646	RBM5	protein_coding
44	ENSG00000003987	28	37	39	26	30	38	MTMR7	protein_coding
45	ENSG00000003989	2	0	2	0	0	8	SLC7A2	protein_coding
46	ENSG00000004059	2949	3922	4821	1767	1988	1964	ARF5	protein_coding
47	ENSG00000004139	203	252	331	224	253	197	SARM1	protein_coding
48	ENSG00000004142	2574	2596	2650	1638	2266	2755	POLDIP2	protein_coding
49	ENSG00000004399	15473	17664	18735	11065	12119	9614	PLXND1	protein_coding
50	ENSG00000004455	2725	2492	2784	2983	2825	2666	AK2	protein_coding
51	ENSG00000004468	2	2	2	0	0	2	CD38	protein_coding
52	ENSG00000004478	1001	976	1162	932	1580	1048	FKBP4	protein_coding
53	ENSG00000004487	2337	2113	2393	2178	2593	2719	KDM1A	protein_coding
54	ENSG00000004534	3123	3287	3261	2893	3295	3850	RBM6	protein_coding
55	ENSG00000004660	329	382	337	305	391	393	CAMKK1	protein_coding
56	ENSG00000004700	739	1064	1086	782	922	1622	RECQL	protein_coding
57	ENSG00000004766	418	369	378	327	325	358	VPS50	protein_coding
58	ENSG00000004776	877	672	947	497	716	1240	HSPB6	protein_coding
59	ENSG00000004777	157	102	137	203	231	204	ARHGAP33	protein_coding
60	ENSG00000004779	707	620	770	367	628	699	NDUFAB1	protein_coding
61	ENSG00000004799	104	266	226	126	122	164	PDK4	protein_coding
62	ENSG00000004809	0	0	0	0	2	2	SLC22A16	protein_coding
63	ENSG00000004838	17	21	18	25	27	38	ZMYND10	protein_coding
64	ENSG00000004846	0	0	7	2	0	0	ABCB5	protein_coding
65	ENSG00000004848	0	0	0	0	0	0	ARX	protein_coding
66	ENSG00000004864	260	262	268	146	199	246	SLC25A13	protein_coding
67	ENSG00000004866	591	503	538	292	338	427	ST7	protein_coding
68	ENSG00000004897	1221	1310	1410	1764	1967	2294	CDC27	protein_coding
69	ENSG00000004939	2	0	0	1	0	0	SLC4A1	protein_coding
70	ENSG00000004948	0	0	0	0	0	0	CALCR	protein_coding
71	ENSG00000004961	327	275	403	478	699	586	HCCS	protein_coding
72	ENSG00000004975	1626	1632	1656	1197	1486	1704	DVL2	protein_coding
73	ENSG00000005001	0	0	0	0	0	0	PRSS22	protein_coding
74	ENSG00000005007	4175	5143	5499	3734	4887	9182	UPF1	protein_coding
75	ENSG00000005020	672	565	693	654	622	955	SKAP2	protein_coding
76	ENSG00000005022	1707	1637	1855	768	1716	1471	SLC25A5	protein_coding
77	ENSG00000005059	67	55	74	120	129	105	MCUB	protein_coding
78	ENSG00000005073	114	104	174	57	90	92	HOXA11	protein_coding
79	ENSG00000005075	1294	981	1094	646	690	903	POLR2J	protein_coding
80	ENSG00000005100	802	740	722	494	765	663	DHX33	protein_coding
81	ENSG00000005102	0	6	4	10	0	2	MEOX1	protein_coding
82	ENSG00000005108	6	7	6	2	4	10	THSD7A	protein_coding
83	ENSG00000005156	407	388	366	289	398	425	LIG3	protein_coding
84	ENSG00000005175	721	622	583	415	519	788	RPAP3	protein_coding
85	ENSG00000005187	8	8	4	4	0	0	ACSM3	protein_coding
86	ENSG00000005189	44	34	41	34	68	30	REXO5	protein_coding
87	ENSG00000005194	1295	926	1000	414	814	732	CIAPIN1	protein_coding
88	ENSG00000005206	1991	1694	2138	1221	1499	1606	SPPL2B	protein_coding
89	ENSG00000005238	3004	2449	2680	2023	2763	2625	FAM214B	protein_coding
90	ENSG00000005243	1460	1285	1686	1046	1399	1608	COPZ2	protein_coding
91	ENSG00000005249	30	56	84	20	48	28	PRKAR2B	protein_coding
92	ENSG00000005302	996	803	931	841	893	1216	MSL3	protein_coding
93	ENSG00000005339	2916	3714	3641	3172	3246	3930	CREBBP	protein_coding
94	ENSG00000005379	143	189	227	188	135	64	TSPOAP1	protein_coding
95	ENSG00000005381	0	0	2	0	0	2	MPO	protein_coding
96	ENSG00000005421	0	0	0	0	0	0	PON1	protein_coding
97	ENSG00000005436	171	247	220	209	153	184	GCFC2	protein_coding
98	ENSG00000005448	324	310	385	508	585	512	WDR54	protein_coding
99	ENSG00000005469	231	314	248	206	301	386	CROT	protein_coding
100	ENSG00000005471	79	73	78	162	112	78	ABCB4	protein_coding
101	ENSG00000005483	1950	1906	1921	2145	2212	2033	KMT2E	protein_coding
102	ENSG00000005486	2305	1932	2309	1586	1990	3101	RHBDD2	protein_coding
103	ENSG00000005513	22	26	18	21	12	62	SOX8	protein_coding
104	ENSG00000005700	30	217	100	26	47	46	IBTK	protein_coding
105	ENSG00000005801	378	299	339	164	152	285	ZNF195	protein_coding
106	ENSG00000005810	943	1335	1275	1400	1742	2107	MYCBP2	protein_coding
107	ENSG00000005812	1095	1374	1421	1119	1004	1362	FBXL3	protein_coding
108	ENSG00000005844	0	2	1	0	0	0	ITGAL	protein_coding
109	ENSG00000005882	818	693	804	704	720	1072	PDK2	protein_coding
110	ENSG00000005884	31500	24790	27000	14698	21378	22917	ITGA3	protein_coding
111	ENSG00000005889	625	781	844	725	847	908	ZFX	protein_coding
112	ENSG00000005893	3889	4276	4421	4808	4667	5702	LAMP2	protein_coding
113	ENSG00000005961	12	7	10	14	6	8	ITGA2B	protein_coding
114	ENSG00000005981	0	0	0	0	0	0	ASB4	protein_coding
115	ENSG00000006007	1897	2161	2428	1335	1871	2633	GDE1	protein_coding
116	ENSG00000006015	614	669	1011	627	952	1256	REX1BD	protein_coding
117	ENSG00000006016	1674	1299	1692	2393	2316	2375	CRLF1	protein_coding
118	ENSG00000006025	61	54	95	200	266	210	OSBPL7	protein_coding
119	ENSG00000006042	3169	3219	3402	2209	2899	2921	TMEM98	protein_coding
120	ENSG00000006047	0	0	0	0	0	0	YBX2	protein_coding
121	ENSG00000006059	0	0	0	2	0	2	KRT33A	protein_coding
122	ENSG00000006062	312	259	274	200	276	275	MAP3K14	protein_coding
123	ENSG00000006071	0	0	0	0	0	0	ABCC8	protein_coding
124	ENSG00000006116	0	0	0	0	0	0	CACNG3	protein_coding
125	ENSG00000006118	2018	2751	3222	3006	3246	4479	TMEM132A	protein_coding
126	ENSG00000006125	5045	4235	4891	5738	7071	8031	AP2B1	protein_coding
127	ENSG00000006128	0	4	2	2	2	35	TAC1	protein_coding
128	ENSG00000006194	999	1007	1143	875	1046	927	ZNF263	protein_coding
129	ENSG00000006210	0	0	4	0	0	0	CX3CL1	protein_coding
130	ENSG00000006282	3128	3041	3388	2488	2852	2959	SPATA20	protein_coding
131	ENSG00000006283	307	384	474	152	133	177	CACNA1G	protein_coding
132	ENSG00000006327	12942	10323	12904	3437	6107	5844	TNFRSF12A	protein_coding
133	ENSG00000006377	0	0	0	0	0	0	DLX6	protein_coding
134	ENSG00000006432	4	0	0	2	10	12	MAP3K9	protein_coding
135	ENSG00000006451	1952	2172	2397	1362	2098	2900	RALA	protein_coding
136	ENSG00000006453	496	420	429	367	395	280	BAIAP2L1	protein_coding
137	ENSG00000006459	202	399	291	319	270	351	KDM7A	protein_coding
138	ENSG00000006468	326	307	499	305	288	1170	ETV1	protein_coding
139	ENSG00000006530	125	103	141	110	120	125	AGK	protein_coding
140	ENSG00000006534	1798	1940	2239	1452	1665	1269	ALDH3B1	protein_coding
